,PR-AM-1,PR-AM-10,PR-AM-11,PR-AM-12,PR-AM-2,PR-AM-3,PR-AM-4,PR-AM-5,PR-AM-6,PR-AM-7,PR-AM-8,PR-AM-9,PR-E-1,PR-E-10,PR-E-11,PR-E-2,PR-E-3,PR-E-4,PR-E-5,PR-E-6,PR-E-7,PR-E-8,PR-E-9,PR-MM-1,PR-MM-10,PR-MM-11,PR-MM-12,PR-MM-2,PR-MM-3,PR-MM-4,PR-MM-5,PR-MM-6,PR-MM-7,PR-MM-8,PR-MM-9,PR-SG-1,PR-SG-10,PR-SG-11,PR-SG-12,PR-SG-2,PR-SG-3,PR-SG-4,PR-SG-5,PR-SG-6,PR-SG-7,PR-SG-8,PR-SG-9,PR-SN-1,PR-SN-10,PR-SN-11,PR-SN-12,PR-SN-2,PR-SN-3,PR-SN-4,PR-SN-5,PR-SN-6,PR-SN-7,PR-SN-8,PR-SN-9,PR-SP-1,PR-SP-10,PR-SP-11,PR-SP-12,PR-SP-2,PR-SP-3,PR-SP-4,PR-SP-5,PR-SP-6,PR-SP-7,PR-SP-8,PR-SP-9,PR-TM-1,PR-TM-10,PR-TM-11,PR-TM-12,PR-TM-2,PR-TM-3,PR-TM-4,PR-TM-5,PR-TM-6,PR-TM-7,PR-TM-8,PR-TM-9,PR-E-12
e3f6111863228b3f4d4f05880288d6fd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6978386fb2474311e8c48a9d9b22b642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
c83425fea7c59021082d263fce6f04d9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
a60b1072dcc60197258bf53a5cd01860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
b4ac4f0dfa63623df022eb799152dcca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,13,0,1,0,0,8,15,1,0,0,0,5,9,0,33,11,0,40,0,0,0,0,0,0,0,0,0,0,0,3,0,0
ac85d43548c6a8cbee710faddeb7779b,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6753e3cc0e3468e2ff5532fa19ce9ac7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
619d935f12abeb92d292773e9b2f147d,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89274fe046a6f6ca603ad4b86ed00c67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2d44e102d8c3d86b59e8adda261f3ae5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
f4c816096fc5884afbf06c671ad1374a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78825ed27023429a14625ba9ed041e2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e611834cd50590004f0f670ee8d6d186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
